Macro time on ka.upc.edu: 12/05/2013 23:26:41; Problema ID: 1255; Temps total: 2.1997702121735;
Macro time on ka.upc.edu: 12/05/2013 23:30:38; Problema ID: 1281; Temps total: 4.4754288196564;
Macro time on ka.upc.edu: 12/05/2013 23:33:29; Problema ID: 1262; Temps total: 4.3089070320129;
Macro time on ka.upc.edu: 12/05/2013 23:34:15; Problema ID: 1262; Temps total: 3.2750949859619;
Macro time on ka.upc.edu: 12/05/2013 23:38:07; Problema ID: 1262; Temps total: 2.382688999176;
Macro time on ka.upc.edu: 12/05/2013 23:38:09; Problema ID: 1262; Temps total: 3.343190908432;
Macro time on ka.upc.edu: 12/05/2013 23:40:20; Problema ID: 1255; Temps total: 3.0488231182098;
Macro time on ka.upc.edu: 12/05/2013 23:40:32; Problema ID: 1255; Temps total: 1.5117440223694;
Macro time on ka.upc.edu: 12/05/2013 23:40:42; Problema ID: 1428; Temps total: 4.0101010799408;
Macro time on ka.upc.edu: 12/05/2013 23:41:38; Problema ID: 1262; Temps total: 2.3108940124512;
Macro time on ka.upc.edu: 12/05/2013 23:45:09; Problema ID: 1255; Temps total: 4.6974551677704;
Macro time on ka.upc.edu: 12/05/2013 23:45:45; Problema ID: 1397; Temps total: 7.1138548851013;
Macro time on ka.upc.edu: 12/05/2013 23:45:57; Problema ID: 1397; Temps total: 1.3787360191345;
Macro time on ka.upc.edu: 12/05/2013 23:46:13; Problema ID: 1262; Temps total: 3.3875939846039;
Macro time on ka.upc.edu: 12/05/2013 23:47:01; Problema ID: 1255; Temps total: 2.8104898929596;
Macro time on ka.upc.edu: 12/05/2013 23:52:07; Problema ID: 1255; Temps total: 3.1711239814758;
Macro time on ka.upc.edu: 12/05/2013 23:53:48; Problema ID: 1255; Temps total: 2.659520149231;
Macro time on ka.upc.edu: 12/05/2013 23:58:46; Problema ID: 1397; Temps total: 3.3091630935669;
Macro time on ka.upc.edu: 12/05/2013 23:58:59; Problema ID: 1255; Temps total: 2.438863992691;
Macro time on ka.upc.edu: 13/05/2013 0:02:00; Problema ID: 1255; Temps total: 2.755224943161;
Macro time on ka.upc.edu: 13/05/2013 0:04:27; Problema ID: 1255; Temps total: 3.3569312095642;
Macro time on ka.upc.edu: 13/05/2013 0:11:05; Problema ID: 1281; Temps total: 4.4500579833984;
Macro time on ka.upc.edu: 13/05/2013 0:16:55; Problema ID: 1281; Temps total: 5.5504679679871;
Macro time on ka.upc.edu: 13/05/2013 0:25:55; Problema ID: 1281; Temps total: 2.9405908584595;
Macro time on ka.upc.edu: 13/05/2013 0:28:45; Problema ID: 1281; Temps total: 1.7567389011383;
Macro time on ka.upc.edu: 13/05/2013 0:31:47; Problema ID: 1401; Temps total: 3.2803418636322;
Macro time on ka.upc.edu: 13/05/2013 0:40:29; Problema ID: 1281; Temps total: 2.2468690872192;
Macro time on ka.upc.edu: 13/05/2013 0:40:39; Problema ID: 1281; Temps total: 2.1575391292572;
Macro time on ka.upc.edu: 13/05/2013 1:14:42; Problema ID: 1198; Temps total: 3.530314207077;
Macro time on ka.upc.edu: 13/05/2013 1:23:14; Problema ID: 1262; Temps total: 2.4620950222015;
Macro time on ka.upc.edu: 13/05/2013 1:36:49; Problema ID: 1198; Temps total: 3.3623130321503;
Macro time on ka.upc.edu: 13/05/2013 1:41:34; Problema ID: 1275; Temps total: 3.4332230091095;
Macro time on ka.upc.edu: 13/05/2013 2:14:09; Problema ID: 1252; Temps total: 2.9790389537811;
Macro time on ka.upc.edu: 13/05/2013 2:19:50; Problema ID: 1198; Temps total: 3.2785019874573;
Macro time on ka.upc.edu: 13/05/2013 2:23:08; Problema ID: 1198; Temps total: 3.6029031276703;
Macro time on ka.upc.edu: 13/05/2013 2:24:22; Problema ID: 1255; Temps total: 4.980789899826;
